Dataset,Repetition,Time [s],MSE,MAE,R2,Accuracy,Precision,Recall,F1,ROC AUC
1.0,1.0,33.628883600234985,,,,0.7300771208226221,0.7227722772277227,0.7487179487179487,0.7355163727959698,0.7300290774517578
1.0,2.0,29.638060331344604,,,,0.6786632390745502,0.6682692307692307,0.7128205128205128,0.6898263027295285,0.6785752048638647
1.0,3.0,36.670114517211914,,,,0.7300771208226221,0.7272727272727273,0.7384615384615385,0.732824427480916,0.7300555114988104
1.0,4.0,37.46280646324158,,,,0.7197943444730077,0.7239583333333334,0.7128205128205128,0.7183462532299741,0.7198123182659266
1.0,5.0,61.957462549209595,,,,0.7403598971722365,0.7582417582417582,0.7076923076923077,0.7320954907161803,0.7404440919904839
2.0,1.0,108.81319975852966,,,,0.9010067114093959,0.7380952380952381,0.7815126050420168,0.7591836734693878,0.8561651075524549
2.0,2.0,92.08194899559021,,,,0.8850671140939598,0.7224669603524229,0.6890756302521008,0.7053763440860215,0.8115189472015222
2.0,3.0,67.87022829055786,,,,0.9001677852348994,0.771689497716895,0.7100840336134454,0.7396061269146608,0.8288365660729702
2.0,4.0,82.26853585243225,,,,0.9035234899328859,0.7469879518072289,0.7815126050420168,0.7638603696098564,0.85773743459648
2.0,5.0,223.9850890636444,,,,0.8901006711409396,0.720164609053498,0.7352941176470589,0.7276507276507278,0.8320076458256258
3.0,1.0,22.574686765670776,,,,0.7296202531645569,0.7218045112781954,0.7096092925026399,0.7156549520766773,0.7288318836054055
3.0,2.0,80.07203507423401,,,,0.7291139240506329,0.7159329140461216,0.7212249208025343,0.7185691741188848,0.7288031218798664
3.0,3.0,69.00266623497009,,,,0.7184810126582278,0.7160220994475138,0.6842661034846885,0.6997840172786177,0.7171330517423442
3.0,4.0,25.30423927307129,,,,0.730632911392405,0.7233584499461787,0.7096092925026399,0.7164179104477613,0.72980464625132
3.0,5.0,48.6565477848053,,,,0.7321518987341772,0.7195378151260504,0.723336853220697,0.7214323328067404,0.7318046133807765
4.0,1.0,29.401269912719727,,,,0.845,0.8931297709923665,0.8731343283582089,0.8830188679245283,0.8305065581184983
4.0,2.0,21.401941537857056,,,,0.82,0.8602941176470589,0.8731343283582089,0.8666666666666667,0.7926277702397106
4.0,3.0,21.168879747390747,,,,0.84,0.8863636363636364,0.8731343283582089,0.8796992481203008,0.8229308005427408
4.0,4.0,22.841702461242676,,,,0.87,0.921875,0.8805970149253731,0.9007633587786259,0.8645409317051108
4.0,5.0,21.072049140930176,,,,0.88,0.8985507246376812,0.9253731343283582,0.9117647058823529,0.856625961103573
5.0,1.0,5.150821685791016,,,,0.8342541436464088,0.7021276595744681,0.673469387755102,0.6875000000000001,0.783704390847248
5.0,2.0,6.283559799194336,,,,0.8397790055248618,0.6785714285714286,0.7755102040816326,0.7238095238095238,0.8195732838589981
5.0,3.0,16.381215572357178,,,,0.8342541436464088,0.6792452830188679,0.7346938775510204,0.7058823529411764,0.8029529993815707
5.0,4.0,17.648564338684082,,,,0.8342541436464088,0.6862745098039216,0.7142857142857143,0.7000000000000001,0.7965367965367965
5.0,5.0,17.40161108970642,,,,0.8121546961325967,0.6229508196721312,0.7755102040816326,0.6909090909090909,0.8006338899196042
